Process Name,USER,PID,%CPU,%MEM,VSZ,RSS,TTY,STAT,START,TIME,COMMAND
systemd,root,1,0.0,0.0814223242345711,172892160,13553664,,sleeping,1708341482.13,6.67,/sbin/init splash
kthreadd,root,2,0.0,0.0,0,0,,sleeping,1708341482.13,0.06,
rcu_gp,root,3,0.0,0.0,0,0,,idle,1708341482.13,0.0,
rcu_par_gp,root,4,0.0,0.0,0,0,,idle,1708341482.13,0.0,
slub_flushwq,root,5,0.0,0.0,0,0,,idle,1708341482.13,0.0,
netns,root,6,0.0,0.0,0,0,,idle,1708341482.13,0.0,
kworker/0:0H-events_highpri,root,8,0.0,0.0,0,0,,idle,1708341482.13,0.0,
mm_percpu_wq,root,10,0.0,0.0,0,0,,idle,1708341482.13,0.0,
rcu_tasks_kthread,root,11,0.0,0.0,0,0,,idle,1708341482.13,0.0,
rcu_tasks_rude_kthread,root,12,0.0,0.0,0,0,,idle,1708341482.13,0.0,
rcu_tasks_trace_kthread,root,13,0.0,0.0,0,0,,idle,1708341482.13,0.0,
ksoftirqd/0,root,14,0.0,0.0,0,0,,sleeping,1708341482.13,236.7,
rcu_preempt,root,15,0.0,0.0,0,0,,idle,1708341482.13,112.71000000000001,
migration/0,root,16,0.0,0.0,0,0,,sleeping,1708341482.13,0.59,
cpuhp/0,root,18,0.0,0.0,0,0,,sleeping,1708341482.13,0.0,
cpuhp/1,root,19,0.0,0.0,0,0,,sleeping,1708341482.13,0.0,
migration/1,root,20,0.0,0.0,0,0,,sleeping,1708341482.13,0.71,
ksoftirqd/1,root,21,0.0,0.0,0,0,,sleeping,1708341482.13,5.58,
kworker/1:0H-events_highpri,root,23,0.0,0.0,0,0,,idle,1708341482.13,0.0,
cpuhp/2,root,24,0.0,0.0,0,0,,sleeping,1708341482.13,0.0,
migration/2,root,25,0.0,0.0,0,0,,sleeping,1708341482.13,0.7,
ksoftirqd/2,root,26,0.0,0.0,0,0,,sleeping,1708341482.13,11.19,
kworker/2:0H-events_highpri,root,28,0.0,0.0,0,0,,idle,1708341482.13,0.0,
cpuhp/3,root,29,0.0,0.0,0,0,,sleeping,1708341482.13,0.0,
migration/3,root,30,0.0,0.0,0,0,,sleeping,1708341482.14,0.7,
ksoftirqd/3,root,31,0.0,0.0,0,0,,sleeping,1708341482.14,258.28,
kworker/3:0H-events_highpri,root,33,0.0,0.0,0,0,,idle,1708341482.14,0.0,
kdevtmpfs,root,38,0.0,0.0,0,0,,sleeping,1708341482.18,0.01,
inet_frag_wq,root,39,0.0,0.0,0,0,,idle,1708341482.18,0.0,
kauditd,root,40,0.0,0.0,0,0,,sleeping,1708341482.18,0.03,
khungtaskd,root,41,0.0,0.0,0,0,,sleeping,1708341482.19,0.16,
oom_reaper,root,42,0.0,0.0,0,0,,sleeping,1708341482.19,0.0,
writeback,root,43,0.0,0.0,0,0,,idle,1708341482.19,0.0,
kcompactd0,root,44,0.0,0.0,0,0,,sleeping,1708341482.19,5.46,
ksmd,root,45,0.0,0.0,0,0,,sleeping,1708341482.19,0.0,
khugepaged,root,47,0.0,0.0,0,0,,sleeping,1708341482.19,7.97,
kintegrityd,root,48,0.0,0.0,0,0,,idle,1708341482.19,0.0,
kblockd,root,49,0.0,0.0,0,0,,idle,1708341482.19,0.0,
blkcg_punt_bio,root,50,0.0,0.0,0,0,,idle,1708341482.19,0.0,
tpm_dev_wq,root,52,0.0,0.0,0,0,,idle,1708341482.34,0.0,
edac-poller,root,53,0.0,0.0,0,0,,idle,1708341482.34,0.0,
devfreq_wq,root,54,0.0,0.0,0,0,,idle,1708341482.34,0.0,
kworker/1:1H-kblockd,root,56,0.0,0.0,0,0,,idle,1708341482.4,28.32,
kswapd0,root,57,0.0,0.0,0,0,,sleeping,1708341482.4,0.0,
kthrotld,root,65,0.0,0.0,0,0,,idle,1708341484.2,0.0,
irq/122-aerdrv,root,67,0.0,0.0,0,0,,sleeping,1708341484.2,1.21,
irq/123-aerdrv,root,68,0.0,0.0,0,0,,sleeping,1708341484.2,0.0,
acpi_thermal_pm,root,69,0.0,0.0,0,0,,idle,1708341484.2,0.0,
xenbus_probe,root,70,0.0,0.0,0,0,,sleeping,1708341484.21,0.0,
mld,root,71,0.0,0.0,0,0,,idle,1708341484.23,0.0,
ipv6_addrconf,root,72,0.0,0.0,0,0,,idle,1708341484.23,0.0,
kstrp,root,77,0.0,0.0,0,0,,idle,1708341484.24,0.0,
zswap-shrink,root,82,0.0,0.0,0,0,,idle,1708341484.35,0.0,
kworker/2:1H-kblockd,root,128,0.0,0.0,0,0,,idle,1708341484.78,23.37,
kworker/3:1H-kblockd,root,144,0.0,0.0,0,0,,idle,1708341484.8,20.77,
kworker/0:1H-kblockd,root,145,0.0,0.0,0,0,,idle,1708341484.9,24.67,
cryptd,root,156,0.0,0.0,0,0,,idle,1708341485.01,0.0,
irq/51-DELL078C:00,root,183,0.0,0.0,0,0,,sleeping,1708341485.09,177.83,
ata_sff,root,218,0.0,0.0,0,0,,idle,1708341485.28,0.0,
scsi_eh_0,root,222,0.0,0.0,0,0,,sleeping,1708341485.29,0.02,
scsi_tmf_0,root,223,0.0,0.0,0,0,,idle,1708341485.29,0.0,
scsi_eh_1,root,225,0.0,0.0,0,0,,sleeping,1708341485.29,0.01,
scsi_tmf_1,root,226,0.0,0.0,0,0,,idle,1708341485.29,0.0,
card0-crtc0,root,234,0.0,0.0,0,0,,sleeping,1708341485.76,0.02,
card0-crtc1,root,235,0.0,0.0,0,0,,sleeping,1708341485.76,0.0,
card0-crtc2,root,236,0.0,0.0,0,0,,sleeping,1708341485.76,0.0,
irq/128-i2c_hid_acpi,root,244,0.0,0.0,0,0,,sleeping,1708341486.21,87.23,
xfsalloc,root,261,0.0,0.0,0,0,,idle,1708341487.6,0.0,
xfs_mru_cache,root,262,0.0,0.0,0,0,,idle,1708341487.6,0.0,
md,root,265,0.0,0.0,0,0,,idle,1708341487.61,0.0,
raid5wq,root,274,0.0,0.0,0,0,,idle,1708341487.63,0.0,
btrfs-worker,root,315,0.0,0.0,0,0,,idle,1708341488.33,0.0,
btrfs-worker-hi,root,316,0.0,0.0,0,0,,idle,1708341488.33,0.0,
btrfs-delalloc,root,317,0.0,0.0,0,0,,idle,1708341488.33,0.0,
btrfs-flush_del,root,318,0.0,0.0,0,0,,idle,1708341488.33,0.0,
btrfs-cache,root,319,0.0,0.0,0,0,,idle,1708341488.33,0.0,
btrfs-fixup,root,320,0.0,0.0,0,0,,idle,1708341488.33,0.0,
btrfs-endio,root,321,0.0,0.0,0,0,,idle,1708341488.33,0.0,
btrfs-endio-met,root,322,0.0,0.0,0,0,,idle,1708341488.33,0.0,
btrfs-endio-rai,root,323,0.0,0.0,0,0,,idle,1708341488.33,0.0,
btrfs-rmw,root,324,0.0,0.0,0,0,,idle,1708341488.33,0.0,
btrfs-endio-wri,root,325,0.0,0.0,0,0,,idle,1708341488.33,0.0,
btrfs-compresse,root,326,0.0,0.0,0,0,,idle,1708341488.33,0.0,
