Process Name,PID,%CPU,%MEM,Flag Reason,Kill URL
streamlit,15173,60.4,1.887083550279085,Unknown process,http://127.0.0.1:5000/kill_process/15173
chrome,6088,54.8,3.6781532265287664,Out of resources!,http://127.0.0.1:5000/kill_process/6088
brave,15319,33.5,1.510434557514328,Out of resources!,http://127.0.0.1:5000/kill_process/15319
python3,18694,9.5,0.2673723104058173,Unknown process,http://127.0.0.1:5000/kill_process/18694
pipewire,1637,4.4,0.13521174725565677,Out of resources!,http://127.0.0.1:5000/kill_process/1637
pipewire-pulse,1639,3.9,0.25932604264374276,Out of resources!,http://127.0.0.1:5000/kill_process/1639
brave,15254,3.4,1.0169301347737547,Out of resources!,http://127.0.0.1:5000/kill_process/15254
marco,1737,2.0,0.2942670219163601,Out of resources!,http://127.0.0.1:5000/kill_process/1737
ksoftirqd/3,31,1.5,0.0,Out of resources!,http://127.0.0.1:5000/kill_process/31
systemd-journald,399,1.0,0.24667839239999254,Out of resources!,http://127.0.0.1:5000/kill_process/399
kworker/3:0-events,10315,1.0,0.0,Unknown process,http://127.0.0.1:5000/kill_process/10315
python3,18693,1.0,0.25445399060432145,Unknown process,http://127.0.0.1:5000/kill_process/18693
ksoftirqd/2,26,0.5,0.0,Out of resources!,http://127.0.0.1:5000/kill_process/26
skypeforlinux,1873,0.5,0.9298975687968197,Out of resources!,http://127.0.0.1:5000/kill_process/1873
notification-area-applet,1994,0.5,0.19237223658684705,Out of resources!,http://127.0.0.1:5000/kill_process/1994
kworker/u8:2-events_unbound,10201,0.5,0.0,Unknown process,http://127.0.0.1:5000/kill_process/10201
python3,20916,0.5,0.2803890555010389,Unknown process,http://127.0.0.1:5000/kill_process/20916
irq/127-i2c_hid_acpi,241,0.0,0.0,Unknown process,http://127.0.0.1:5000/kill_process/241
kworker/u8:23-btrfs-endio-write,487,0.0,0.0,Unknown process,http://127.0.0.1:5000/kill_process/487
systemd-udevd,498,0.0,0.0555118656612851,Out of resources!,http://127.0.0.1:5000/kill_process/498
kworker/2:5-kec_query,641,0.0,0.0,Unknown process,http://127.0.0.1:5000/kill_process/641
snapd,905,0.0,0.2731547964122012,Out of resources!,http://127.0.0.1:5000/kill_process/905
unattended-upgr,1011,0.0,0.15920291260129193,Out of resources!,http://127.0.0.1:5000/kill_process/1011
cupsd,1395,0.0,0.07317920588504516,Out of resources!,http://127.0.0.1:5000/kill_process/1395
(sd-pam),1623,0.0,0.02431104755024365,Out of resources!,http://127.0.0.1:5000/kill_process/1623
xdg-permission-store,1703,0.0,0.05740655256550449,Out of resources!,http://127.0.0.1:5000/kill_process/1703
at-spi-bus-launcher,1710,0.0,0.06139277696139465,Out of resources!,http://127.0.0.1:5000/kill_process/1710
applet.py,1844,0.0,0.24731815680920946,Out of resources!,http://127.0.0.1:5000/kill_process/1844
gvfs-mtp-volume-monitor,1869,0.0,0.05155024758882636,Out of resources!,http://127.0.0.1:5000/kill_process/1869
agent,1871,0.0,0.04382386203136027,Out of resources!,http://127.0.0.1:5000/kill_process/1871
gvfs-gphoto2-volume-monitor,1889,0.0,0.06601876576650174,Out of resources!,http://127.0.0.1:5000/kill_process/1889
polkit-mate-authentication-agent-1,1913,0.0,0.10691447530952293,Out of resources!,http://127.0.0.1:5000/kill_process/1913
gvfsd-trash,2021,0.0,0.07010341545611758,Out of resources!,http://127.0.0.1:5000/kill_process/2021
obexd,2062,0.0,0.04237208894890645,Out of resources!,http://127.0.0.1:5000/kill_process/2062
dnsmasq,2079,0.0,0.0024852386665734907,Out of resources!,http://127.0.0.1:5000/kill_process/2079
gvfsd-metadata,2315,0.0,0.08019200806300006,Out of resources!,http://127.0.0.1:5000/kill_process/2315
uuidd,4091,0.0,0.007209652765406265,Out of resources!,http://127.0.0.1:5000/kill_process/4091
python3.10,4705,0.0,0.39854862061872104,Unknown process,http://127.0.0.1:5000/kill_process/4705
python3.10,4759,0.0,0.14291352648969144,Unknown process,http://127.0.0.1:5000/kill_process/4759
cat,5778,0.0,0.00349409792726174,Out of resources!,http://127.0.0.1:5000/kill_process/5778
chrome_crashpad_handler,5780,0.0,0.021063012857296122,Out of resources!,http://127.0.0.1:5000/kill_process/5780
nacl_helper,5790,0.0,0.028567941503879434,Out of resources!,http://127.0.0.1:5000/kill_process/5790
kworker/u8:1-btrfs-worker,8311,0.0,0.0,Unknown process,http://127.0.0.1:5000/kill_process/8311
kworker/u8:4-btrfs-worker,8503,0.0,0.0,Unknown process,http://127.0.0.1:5000/kill_process/8503
kworker/1:2-events,9026,0.0,0.0,Unknown process,http://127.0.0.1:5000/kill_process/9026
kworker/2:0-events,9031,0.0,0.0,Unknown process,http://127.0.0.1:5000/kill_process/9031
kworker/u8:8-btrfs-worker,9312,0.0,0.0,Unknown process,http://127.0.0.1:5000/kill_process/9312
sleep,10598,0.0,0.006791345267072113,Out of resources!,http://127.0.0.1:5000/kill_process/10598
kworker/u8:10-btrfs-endio-write,10613,0.0,0.0,Unknown process,http://127.0.0.1:5000/kill_process/10613
kworker/u8:5-events_unbound,15075,0.0,0.0,Unknown process,http://127.0.0.1:5000/kill_process/15075
xdg-open,15203,0.0,0.0,Unknown process,http://127.0.0.1:5000/kill_process/15203
brave-browser-s,15211,0.0,0.020866162269844755,Out of resources!,http://127.0.0.1:5000/kill_process/15211
cat,15217,0.0,0.003543310574124581,Out of resources!,http://127.0.0.1:5000/kill_process/15217
cat,15218,0.0,0.00349409792726174,Out of resources!,http://127.0.0.1:5000/kill_process/15218
kworker/u8:6-events_unbound,17378,0.0,0.0,Unknown process,http://127.0.0.1:5000/kill_process/17378
mate-terminal,18453,0.0,0.29096977457654977,Out of resources!,http://127.0.0.1:5000/kill_process/18453
python3,18692,0.0,0.18572852926036346,Unknown process,http://127.0.0.1:5000/kill_process/18692
kworker/u8:11-btrfs-endio-write,21070,0.0,0.0,Unknown process,http://127.0.0.1:5000/kill_process/21070
