Process Name,USER,PID,CPU_MEAN,CPU_STD_Deviation,MEM_MEAN,MEM_STD_Deviation
systemd,root,1,0.0,0.0,0.0814223242345711,0.0
kthreadd,root,2,0.0,0.0,0.0,0.0
rcu_gp,root,3,0.0,0.0,0.0,0.0
rcu_par_gp,root,4,0.0,0.0,0.0,0.0
slub_flushwq,root,5,0.0,0.0,0.0,0.0
netns,root,6,0.0,0.0,0.0,0.0
kworker/0:0H-events_highpri,root,8,0.0,0.0,0.0,0.0
mm_percpu_wq,root,10,0.0,0.0,0.0,0.0
rcu_tasks_kthread,root,11,0.0,0.0,0.0,0.0
rcu_tasks_rude_kthread,root,12,0.0,0.0,0.0,0.0
rcu_tasks_trace_kthread,root,13,0.0,0.0,0.0,0.0
ksoftirqd/0,root,14,0.55,0.42730107289422026,0.0,0.0
rcu_preempt,root,15,0.2,0.3695290572308638,0.0,0.0
migration/0,root,16,0.0,0.0,0.0,0.0
cpuhp/0,root,18,0.0,0.0,0.0,0.0
cpuhp/1,root,19,0.0,0.0,0.0,0.0
migration/1,root,20,0.0,0.0,0.0,0.0
ksoftirqd/1,root,21,0.0,0.0,0.0,0.0
kworker/1:0H-events_highpri,root,23,0.0,0.0,0.0,0.0
cpuhp/2,root,24,0.0,0.0,0.0,0.0
migration/2,root,25,0.0,0.0,0.0,0.0
ksoftirqd/2,root,26,0.0,0.0,0.0,0.0
kworker/2:0H-events_highpri,root,28,0.0,0.0,0.0,0.0
cpuhp/3,root,29,0.0,0.0,0.0,0.0
migration/3,root,30,0.0,0.0,0.0,0.0
ksoftirqd/3,root,31,0.02666666666666667,0.14605934866804432,0.0,0.0
kworker/3:0H-events_highpri,root,33,0.0,0.0,0.0,0.0
kdevtmpfs,root,38,0.0,0.0,0.0,0.0
inet_frag_wq,root,39,0.0,0.0,0.0,0.0
kauditd,root,40,0.0,0.0,0.0,0.0
khungtaskd,root,41,0.0,0.0,0.0,0.0
oom_reaper,root,42,0.0,0.0,0.0,0.0
writeback,root,43,0.0,0.0,0.0,0.0
kcompactd0,root,44,0.02666666666666667,0.14605934866804432,0.0,0.0
ksmd,root,45,0.0,0.0,0.0,0.0
khugepaged,root,47,0.0,0.0,0.0,0.0
kintegrityd,root,48,0.0,0.0,0.0,0.0
kblockd,root,49,0.0,0.0,0.0,0.0
blkcg_punt_bio,root,50,0.0,0.0,0.0,0.0
tpm_dev_wq,root,52,0.0,0.0,0.0,0.0
edac-poller,root,53,0.0,0.0,0.0,0.0
devfreq_wq,root,54,0.0,0.0,0.0,0.0
kworker/1:1H-kblockd,root,56,0.11666666666666667,0.3029547972807203,0.0,0.0
kswapd0,root,57,0.0,0.0,0.0,0.0
kthrotld,root,65,0.0,0.0,0.0,0.0
irq/122-aerdrv,root,67,0.0,0.0,0.0,0.0
irq/123-aerdrv,root,68,0.0,0.0,0.0,0.0
acpi_thermal_pm,root,69,0.0,0.0,0.0,0.0
xenbus_probe,root,70,0.0,0.0,0.0,0.0
mld,root,71,0.0,0.0,0.0,0.0
ipv6_addrconf,root,72,0.0,0.0,0.0,0.0
kstrp,root,77,0.0,0.0,0.0,0.0
zswap-shrink,root,82,0.0,0.0,0.0,0.0
kworker/2:1H-kblockd,root,128,0.060000000000000005,0.22833731853221617,0.0,0.0
kworker/3:1H-kblockd,root,144,0.14333333333333334,0.5581269991018503,0.0,0.0
kworker/0:1H-kblockd,root,145,0.08666666666666667,0.2648790658776754,0.0,0.0
cryptd,root,156,0.0,0.0,0.0,0.0
irq/51-DELL078C:00,root,183,0.0,0.0,0.0,0.0
ata_sff,root,218,0.0,0.0,0.0,0.0
scsi_eh_0,root,222,0.0,0.0,0.0,0.0
